case_keep,run,policy,q_idx,question,reference,raw_reference,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_reference,final_vs_reference,improvement_type,final_NEI,action
1,0,extract_K,157,when did disney art of animation resort open,"May 31, 2012","May 31, 2012","The Disney Art of Animation Resort opened on May 31, 2018","The Disney Art of Animation Resort opened on May 31, 2012",0.007756181829768707,0.1256897708709859,0.11793358904121719,False,True,0.005483447574079037,0.9560443758964539,0.0074425749480724335,0.04065484181046486,contradict,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,364,where does the expression as the crow flies come from,Charles Dickens's novel Oliver Twist,Charles Dickens's novel Oliver Twist,"The expression ""as the crow flies"" is a common idiom that originated from the idea that crows, being birds, fly in a direct path without any detours or obstacles. This means that when traveling ""as the crow flies,"" one would take the shortest distance between two points, rather than following a longer route that may involve turns or intersections. The phrase has been used since the 14th century and is still widely used today to describe the most direct path between two locations","The expression ""as the crow flies"" is a common idiom that originated from the idea that crows, being birds, fly in a direct path without any detours or obstacles. This phrase is often used to describe a shortest distance or straight line between two points, regardless of any obstacles or distances involved",0.01385942889736922,0.13681141186820975,0.12295198297084053,False,False,0.04178859293460846,0.0012329041492193937,0.6326874494552612,0.0055306656286120415,neutral,entailed,still_wrong,False,extract_K10_group_sc
1,0,extract_K,65,if a piece of music is perceived to have changed key then we say the piece has,transposed,transposed,"If a piece of music is perceived to have changed key, we say that the piece has modulated","If a piece of music is perceived to have changed key, we say that the piece has undergone a key change",0.055381026863982906,0.24935194919314485,0.19397092232916194,False,False,0.35306495428085327,0.0269114188849926,0.5673422813415527,0.017015516757965088,neutral,entailed,still_wrong,False,extract_K10_group_sc
1,0,extract_K,173,who wrote shes always a woman to me,Billy Joel,Billy Joel,Sheila E,"The author of ""She's Always a Woman to Me"" is Billy Joel",0.008971301418847022,0.1178466330239284,0.10887533160508137,False,True,0.014078712090849876,0.973584771156311,0.07879018038511276,0.0023753459099680185,contradict,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,102,where is wind power used most in the united states,Texas,Texas,"The United States is home to several wind power hotspots, including the Great Plains, the Midwest, and coastal areas such as California and Maine","The majority of wind power in the United States is generated in the Great Plains region, particularly in states such as Texas, Oklahoma, Kansas, and North Dakota",0.07652086525260984,0.06427027140193058,-0.012250593850679267,False,True,0.4088628590106964,0.008416269905865192,0.021358298137784004,0.0020687708165496588,neutral,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,653,where does new crust come from in sea floor spreading,volcanic activity,volcanic activity,"Sea floor spreading creates new crust through the process of plate tectonics, where magma rises from the mantle and solidifies at the surface to form new oceanic crust","Sea floor spreading creates new crust through the process of seafloor spreading, where magma rises from the Earth's mantle and solidifies at the surface, resulting in the formation of new oceanic crust",0.02884464556730564,0.2026727766299558,0.17382813106265016,False,False,0.20327702164649963,0.450814425945282,0.687578558921814,0.043181851506233215,neutral,entailed,still_wrong,False,extract_K10_group_sc
1,0,extract_K,538,what is the time setting of game of thrones,medieval,medieval,"The time setting of Game of Thrones is primarily set in the fictional continents of Westeros and Essos, which are located in the northern hemisphere","The time setting of Game of Thrones is the medieval period, specifically the 15th century",0.006276483868747928,0.09984698721092793,0.09357050334217999,False,True,0.11269713193178177,0.1038786843419075,0.1334587037563324,0.0022322232834994793,neutral,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,539,who starred in the movie on golden pond,Katharine Hepburn,Katharine Hepburn,Henry Fonda,"Henry Fonda and Katharine Hepburn starred in the movie ""On Golden Pond",0.009654366452380148,0.10142760236163233,0.09177323590925218,False,True,0.002783901523798704,0.9912831783294678,0.002241685288026929,0.009647135622799397,contradict,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,614,who scored the most points in their nba career,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar scored the most points in his NBA career,Kareem Abdul-Jabbar,0.11650594918887712,0.8094030760471007,0.6928971268582236,True,True,0.0021309065632522106,0.007071724161505699,0.9370265007019043,0.019077958539128304,neutral,entailed,already_correct,False,extract_K10_group_sc
1,0,extract_K,521,where does this season's survivor take place,"Mamanuca Islands, Fiji","Mamanuca Islands, Fiji",The season's Survivor takes place in Borneo,Survivor season 41 takes place in Fiji,0.008085807251760002,0.07961995867193546,0.07153415142017545,False,False,0.008362284861505032,0.9496055841445923,0.011011766269803047,0.03087739273905754,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,0,extract_K,377,what rights do eu citizens have under the privacy shield,the benefits of the US Privacy Act,the benefits of the US Privacy Act,"Under the Privacy Shield, EU citizens have the right to access, correct, and delete their personal data, as well as to object to processing based on legitimate interests","FINAL ANSWER: The Privacy Shield Framework provides certain rights to EU citizens regarding the protection of their personal data when it is transferred to the United States. These rights include the right to access, rectify, and delete personal data, as well as the right to object to processing and the right to data portability. Additionally, EU citizens have the right to lodge a complaint with their supervisory authority or seek legal remedies if they believe that their privacy rights have been violated",0.0008183289160776474,0.010911061274477126,0.010092732358399479,False,False,0.01293893251568079,0.706026554107666,0.017132971435785294,0.010791048407554626,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,0,detector_conditioned_extract,796,various artists the secret of my success songs,"""The Secret of My Success"" (performed by Night Ranger)","""The Secret of My Success"" (performed by Night Ranger)",The Secret of My Success is a song by Bruce Springsteen,The secret of my success songs by various artists,0.009671809864975326,0.18778435801974153,0.1781125481547662,True,True,0.001273521687835455,0.9952724575996399,0.05089623108506203,0.015579883009195328,contradict,neutral,already_correct,False,force_extract_low_conf
1,0,detector_conditioned_extract,629,when was the last time vancouver had an earthquake,1946,1946,"According to the Context, the last time Vancouver had an earthquake was on July 14, 2003","According to the Context, the last time Vancouver had an earthquake was on July 14, 2018",6.852351361885667e-07,0.0009798658960704643,0.0009791806609342757,False,False,0.12684166431427002,0.5041389465332031,0.12265367060899734,0.343485951423645,contradict,neutral,still_wrong,False,force_extract_low_conf
1,0,detector_conditioned_extract,181,who starred in an officer and a gentleman,Richard Gere,Richard Gere,"Richard Gere starred in ""An Officer and a Gentleman",Richard Gere,0.11929823656188934,0.8418717957874634,0.7225735592255741,True,True,0.006295814178884029,0.01895204745233059,0.9447823166847229,0.01565895415842533,neutral,entailed,already_correct,False,force_extract_low_conf
1,0,detector_conditioned_extract,157,when did disney art of animation resort open,"May 31, 2012","May 31, 2012","The Disney Art of Animation Resort opened on May 31, 2018","The Disney Art of Animation Resort opened on May 31, 2012",0.007756181829768707,0.12578088746661895,0.11802470563685023,False,True,0.005483447574079037,0.9560443758964539,0.0074425749480724335,0.04065484181046486,contradict,neutral,fixed,False,force_extract_low_conf
1,0,detector_conditioned_extract,537,who got the first arjun award in athletics,Gurbachan Singh Randhawa,Gurbachan Singh Randhawa,The first Arjun Award in athletics was given to P. T. Usha in 1968,FINAL ANSWER: The first Arjun Award in athletics was given to P. T. Usha in 1968,4.469584843036426e-07,0.0021012308376996106,0.002100783879215307,False,False,0.06340042501688004,0.5033427476882935,0.0614573135972023,0.2708040773868561,contradict,neutral,still_wrong,False,force_extract_low_conf
1,0,detector_conditioned_extract,614,who scored the most points in their nba career,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar scored the most points in his NBA career,Kareem Abdul-Jabbar,0.11650594918887712,0.8284626236553835,0.7119566744665063,True,True,0.0021309065632522106,0.007071724161505699,0.9370265007019043,0.019077958539128304,neutral,entailed,already_correct,False,force_extract_low_conf
1,1,extract_once,547,when did the united states acquired puerto rico,after the Spanish–American War in the 1898 Treaty of Paris,after the Spanish–American War in the 1898 Treaty of Paris,"The United States acquired Puerto Rico in 1898, after the Spanish-American War",1898,0.1534181913049303,0.4508129126557705,0.2973947213508402,True,True,0.012792893685400486,0.07631651312112808,0.8670563697814941,0.026295576244592667,neutral,entailed,already_correct,False,extract_once
1,1,extract_once,538,what is the time setting of game of thrones,medieval,medieval,"The time setting of Game of Thrones is primarily set in the fictional continents of Westeros and Essos, which are located in the northern hemisphere",The time setting of Game of Thrones is medieval,0.006276483868747928,0.10650685322626684,0.1002303693575189,False,True,0.11269713193178177,0.1038786843419075,0.0408196747303009,0.002178352791815996,neutral,neutral,fixed,False,extract_once
1,1,extract_once,557,mainland greece is a body of land with water on three sides called,peninsula,peninsula,Greece,Peloponnese,0.0011050725130468202,0.0014192771218155542,0.000314204608768734,False,False,0.13236139714717865,0.6662131547927856,0.25111597776412964,0.31163352727890015,contradict,neutral,still_wrong,False,extract_once
1,1,extract_K,186,who was the captain of the mayflower when it took the pilgrims to the new world,Christopher Jones,Christopher Jones,Captain Myles Standish,Captain Christopher Jones,0.008574252205966248,0.17876951962552673,0.17019526741956048,False,True,0.016432957723736763,0.9629862904548645,0.047252535820007324,0.009966854937374592,contradict,neutral,fixed,False,extract_K10_group_sc
1,1,extract_K,539,who starred in the movie on golden pond,Katharine Hepburn,Katharine Hepburn,Henry Fonda,"Henry Fonda and Katharine Hepburn starred in the movie ""On Golden Pond",0.009654366452380148,0.09068922916253996,0.08103486271015982,False,True,0.002783901523798704,0.9912831783294678,0.002241685288026929,0.009647135622799397,contradict,neutral,fixed,False,extract_K10_group_sc
1,1,extract_K,686,who is the speaker in shooting an elephant,Orwell,Orwell,The speaker in shooting an elephant is the colonel,"The speaker in shooting an elephant is the British colonial officer, as described in the context",0.00029782705605668996,0.029787611118255886,0.029489784062199195,False,False,0.06803690642118454,0.586288332939148,0.055560026317834854,0.3141140937805176,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,1,extract_K,547,when did the united states acquired puerto rico,after the Spanish–American War in the 1898 Treaty of Paris,after the Spanish–American War in the 1898 Treaty of Paris,"The United States acquired Puerto Rico in 1898, after the Spanish-American War",1898,0.1534181913049303,0.41947264755538394,0.26605445625045365,True,True,0.012792893685400486,0.07631651312112808,0.8670563697814941,0.026295576244592667,neutral,entailed,already_correct,False,extract_K10_group_sc
1,1,extract_K,452,published a treatise on perspective della pitture (or on painting) in 1435,Italian architect and art theorist Leon Battista Alberti,Italian architect and art theorist Leon Battista Alberti,Leonardo da Vinci,published,0.009231087926822427,0.04177317309318795,0.03254208516636552,False,False,0.006752800662070513,0.9803927540779114,0.5022672414779663,0.12387976050376892,contradict,entailed,still_wrong,False,extract_K10_group_sc
1,1,extract_K,389,who won the battle of stirling bridge 1297,the forces of Andrew Moray and William Wallace,the forces of Andrew Moray and William Wallace,William Wallace won the Battle of Stirling Bridge in 1297,William Wallace,0.13636679717756345,0.5881019569024578,0.45173515972489436,False,True,0.0018870908534154296,0.005889723543077707,0.9564940929412842,0.014241610653698444,neutral,entailed,fixed,False,extract_K10_group_sc
1,1,extract_K,705,what is an example of an americanized mexican food created by tex-mex cuisine,nachos,nachos,Tacos al pastor,Tacos,0.003400767825245846,0.04787196400671649,0.04447119618147065,False,False,0.06036483496427536,0.20841948688030243,0.6962265372276306,0.16705694794654846,neutral,entailed,still_wrong,False,extract_K10_group_sc
1,1,extract_K,538,what is the time setting of game of thrones,medieval,medieval,"The time setting of Game of Thrones is primarily set in the fictional continents of Westeros and Essos, which are located in the northern hemisphere","The time setting of Game of Thrones is the medieval period, specifically the 15th century",0.006276483868747928,0.07714573555497002,0.07086925168622209,False,True,0.11269713193178177,0.1038786843419075,0.1334587037563324,0.0022322232834994793,neutral,neutral,fixed,False,extract_K10_group_sc
1,1,extract_K,123,when is the president sworn into office (date and time of an odd or even year),at noon on the 20th day of January,at noon on the 20th day of January,"The President of the United States is sworn into office on January 20th of every odd-numbered year, at 12:00 PM Eastern Standard Time","January 20th, at 12:00 PM (noon)",0.1261187713912772,0.603006847812842,0.4768880764215648,False,True,0.017106827348470688,0.009611510671675205,0.8805879950523376,0.0033646931406110525,neutral,entailed,fixed,False,extract_K10_group_sc
1,1,extract_K,777,who is playing halftime show super bowl 50,Coldplay,Coldplay,Coldplay is playing the halftime show at Super Bowl 50,Coldplay,0.09261457025867732,0.7279092427523718,0.6352946724936944,True,True,0.003288137959316373,0.004596064332872629,0.919303834438324,0.02530684694647789,neutral,entailed,already_correct,False,extract_K10_group_sc
1,1,extract_K,479,who were farmers who kept a small portion of their crops & gave the rest to the landowners,Sharecropping,Sharecropping,Serfs,The peasants,0.0023976448811460216,0.04976768713369477,0.04737004225254875,False,False,0.1492374837398529,0.7448287606239319,0.381337434053421,0.03924942389130592,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,1,extract_K,736,who hosted and won the inagural world cup,Uruguay,Uruguay,The inaugural World Cup was hosted and won by England in 1966,FINAL ANSWER: The inaugural World Cup was hosted and won by Uruguay in 1930,0.00824690660542288,0.053926509345250465,0.04567960273982759,False,True,0.0039787814021110535,0.9540624022483826,0.03393101692199707,0.024062752723693848,contradict,neutral,fixed,False,extract_K10_group_sc
1,1,extract_K,260,what is the genus of a bald eagle,Haliaeetus,Haliaeetus,Bald Eagle,The genus of a bald eagle is Haliaeetus,0.007252163525956804,0.08170234449277215,0.07445018096681535,False,True,0.032791558653116226,0.9257981777191162,0.10388573259115219,0.0859004408121109,contradict,neutral,fixed,False,extract_K10_group_sc
1,1,extract_K,263,who plays the dad in malcom in the middle,Bryan Cranston,Bryan Cranston,Frankie Muniz plays the dad in Malcolm in the Middle,The actor who plays the dad in Malcolm in the Middle is Bryan Cranston,0.008946778035222137,0.09473234428158893,0.0857855662463668,False,True,0.003557251999154687,0.9729370474815369,0.01703188754618168,0.002545473398640752,contradict,neutral,fixed,False,extract_K10_group_sc
1,1,extract_K,181,who starred in an officer and a gentleman,Richard Gere,Richard Gere,"Richard Gere starred in ""An Officer and a Gentleman",Richard Gere,0.11929823656188934,0.8388119138274833,0.719513677265594,True,True,0.006295814178884029,0.01895204745233059,0.9447823166847229,0.01565895415842533,neutral,entailed,already_correct,False,extract_K10_group_sc
1,1,extract_K,406,who is entitled to a trial by jury,Every person accused of a crime punishable by incarceration for more than six months,Every person accused of a crime punishable by incarceration for more than six months,"FINAL ANSWER: The Sixth Amendment to the United States Constitution guarantees the right to a trial by jury in criminal cases, as well as in civil cases where the plaintiff is seeking damages in excess of $20",Entitled to a trial by jury are all individuals who have been charged with a crime in a court of law,0.028222671889726696,0.11993784426512868,0.09171517237540198,False,False,0.018064331263303757,0.5292479991912842,0.3494429886341095,0.09946788847446442,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,1,extract_K,675,when did hootie and the blowfish come out,1986,1986,"Hootie and the Blowfish released their debut album ""Cracked Rear View"" in 1994",Hootie and the Blowfish formed in 1986,0.007234262715342654,0.0856171741291998,0.07838291141385714,False,True,0.010561672039330006,0.9252723455429077,0.017850734293460846,0.03982410579919815,contradict,neutral,fixed,False,extract_K10_group_sc
1,1,extract_K,377,what rights do eu citizens have under the privacy shield,the benefits of the US Privacy Act,the benefits of the US Privacy Act,"Under the Privacy Shield, EU citizens have the right to access, correct, and delete their personal data, as well as to object to processing based on legitimate interests","FINAL ANSWER: The Privacy Shield Framework provides certain rights to EU citizens regarding the protection of their personal data when it is transferred to the United States. These rights include the right to access, rectify, and delete personal data, as well as the right to object to processing and the right to data portability. Additionally, EU citizens have the right to lodge a complaint with their supervisory authority or seek legal remedies if they believe their privacy rights have been violated",0.0008183289160776474,0.010888700377493446,0.010070371461415798,False,False,0.01293893251568079,0.706026554107666,0.016777582466602325,0.010877837426960468,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,1,detector_conditioned_extract,547,when did the united states acquired puerto rico,after the Spanish–American War in the 1898 Treaty of Paris,after the Spanish–American War in the 1898 Treaty of Paris,"The United States acquired Puerto Rico in 1898, after the Spanish-American War",1898,0.1534181913049303,0.41733069771356646,0.26391250640863617,True,True,0.012792893685400486,0.07631651312112808,0.8670563697814941,0.026295576244592667,neutral,entailed,already_correct,False,mid_mix_K10_group=ANSWER_sc_rerank
1,1,detector_conditioned_extract,536,how much is a 72 oz steak at the big texan,$72,$72,$40,The price of a 72 oz steak at the Big Texan is $40,0.009284278585482753,0.001032823336963381,-0.008251455248519371,False,True,0.009972824715077877,0.9817748069763184,0.008686363697052002,0.7120987772941589,contradict,contradict,fixed,False,force_extract_low_conf
1,1,detector_conditioned_extract,389,who won the battle of stirling bridge 1297,the forces of Andrew Moray and William Wallace,the forces of Andrew Moray and William Wallace,William Wallace won the Battle of Stirling Bridge in 1297,William Wallace,0.13636679717756345,0.6030093573925911,0.46664256021502765,False,True,0.0018870908534154296,0.005889723543077707,0.9564940929412842,0.014241610653698444,neutral,entailed,fixed,False,force_extract_low_conf
1,1,detector_conditioned_extract,538,what is the time setting of game of thrones,medieval,medieval,"The time setting of Game of Thrones is primarily set in the fictional continents of Westeros and Essos, which are located in the northern hemisphere",The time setting of Game of Thrones is medieval,0.006276483868747928,0.10650685322626684,0.1002303693575189,False,True,0.11269713193178177,0.1038786843419075,0.0408196747303009,0.002178352791815996,neutral,neutral,fixed,False,force_extract_low_conf
1,1,detector_conditioned_extract,485,first who wants to be a millionaire winner uk,Judith Cynthia Aline Keppel,Judith Cynthia Aline Keppel,Who Wants to Be a Millionaire Winner UK is Jeremy Vine,Who Wants to Be a Millionaire Winner UK,0.006095789956560937,1.7498489047831404e-05,-0.006078291467513106,False,False,0.018016157671809196,0.8903777003288269,0.05465409532189369,0.47908440232276917,contradict,neutral,still_wrong,False,force_extract_low_conf
1,1,detector_conditioned_extract,675,when did hootie and the blowfish come out,1986,1986,"Hootie and the Blowfish released their debut album ""Cracked Rear View"" in 1994",Hootie and the Blowfish formed in 1986,0.007234262715342654,0.09737281360196595,0.0901385508866233,False,True,0.010561672039330006,0.9252723455429077,0.017850734293460846,0.03982410579919815,contradict,neutral,fixed,False,force_extract_low_conf
1,1,detector_conditioned_extract,377,what rights do eu citizens have under the privacy shield,the benefits of the US Privacy Act,the benefits of the US Privacy Act,"Under the Privacy Shield, EU citizens have the right to access, correct, and delete their personal data, as well as to object to processing based on legitimate interests","Under the Privacy Shield framework, EU citizens have certain rights regarding their personal data, including the right to access, rectify, and delete their personal data, as well as the right to object to processing and the right to data portability",0.0008183289160776474,0.004140608352271326,0.003322279436193679,False,False,0.01293893251568079,0.706026554107666,0.10324036329984665,0.29134538769721985,contradict,neutral,still_wrong,False,force_extract_low_conf
1,1,detector_conditioned_extract,127,when is the season finale of designated survivor,"May 16, 2018","May 16, 2018","The season finale of Designated Survivor is on May 9th, 2018",The season finale of Designated Survivor is on May 20th,0.002939191294174345,0.012490436932002063,0.009551245637827718,False,False,0.01847146451473236,0.8313158750534058,0.032626379281282425,0.11197157949209213,contradict,neutral,still_wrong,False,force_extract_low_conf
1,2,extract_once,134,what was the purpose of the enabling act,"gave the German Cabinet – in effect, Chancellor Adolf Hitler – the power to enact laws without the involvement of","gave the German Cabinet – in effect, Chancellor Adolf Hitler – the power to enact laws without the involvement of",The purpose of the Enabling Act was to grant the President the authority to take the United States into World War II after the Japanese attack on Pearl Harbor,"The purpose of the Enabling Act was to grant the federal government the authority to regulate and control the production, transportation, and sale of alcoholic beverages in the United States",3.116559771599837e-05,0.003389597355125132,0.0033584317574091335,False,False,0.0038178686518222094,0.5829930305480957,0.0025410838425159454,0.39725619554519653,contradict,neutral,still_wrong,False,extract_once
1,2,extract_once,538,what is the time setting of game of thrones,medieval,medieval,"The time setting of Game of Thrones is primarily set in the fictional continents of Westeros and Essos, which are located in the northern hemisphere",The time setting of Game of Thrones is medieval,0.006276483868747928,0.10650685322626684,0.1002303693575189,False,True,0.11269713193178177,0.1038786843419075,0.0408196747303009,0.002178352791815996,neutral,neutral,fixed,False,extract_once
1,2,extract_once,500,who scored the most goals in premier league season,Chelsea,Chelsea,FINAL ANSWER: Mohamed Salah,Mohamed Salah scored the most goals in the Premier League season,0.00011113375008576997,0.007388853510697601,0.0072777197606118315,False,False,0.07463771849870682,0.5527099967002869,0.02942574769258499,0.07020779699087143,contradict,neutral,still_wrong,False,extract_once
1,2,extract_once,528,when was the first mad max movie release,1979,1979,"The first Mad Max movie, ""Mad Max,"" was released in 1979",1979,0.09512797369481352,0.83338331221589,0.7382553385210765,True,True,0.035489849746227264,0.010046037845313549,0.9277735352516174,0.012977588921785355,neutral,entailed,already_correct,False,extract_once
1,2,extract_K,401,when did the new day win the tag team titles,2016,2016,"The New Day won the WWE Tag Team Titles on November 16, 2015","The New Day won the WWE Tag Team Titles on June 19, 2016",0.0002552565677446237,0.07333358072039427,0.07307832415264964,False,True,0.042560551315546036,0.5798837542533875,0.01879625767469406,0.020674165338277817,contradict,neutral,fixed,False,extract_K10_group_sc
1,2,extract_K,406,who is entitled to a trial by jury,Every person accused of a crime punishable by incarceration for more than six months,Every person accused of a crime punishable by incarceration for more than six months,"FINAL ANSWER: The Sixth Amendment to the United States Constitution guarantees the right to a trial by jury in criminal cases, as well as in civil cases where the plaintiff is seeking damages in excess of $20","FINAL ANSWER: The Sixth Amendment to the United States Constitution guarantees the right to a trial by jury in criminal cases, stating that ""in all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial by an impartial jury of twelve men",0.028222671889726696,0.024889853053154457,-0.00333281883657224,False,False,0.018064331263303757,0.5292479991912842,0.035446155816316605,0.37723857164382935,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,2,extract_K,172,papayas were suffering from what pathogen on the big island of hawaii,Papaya ringspot virus (PRSV),Papaya ringspot virus (PRSV),The pathogen that papayas were suffering from on the big island of Hawaii was a fungus,Papaya Ringspot Virus,0.002053017397884674,0.6407717766121147,0.63871875921423,False,True,0.05157872289419174,0.2734488248825073,0.8960593938827515,0.062456224113702774,neutral,entailed,fixed,False,extract_K10_group_sc
